date;hour;price
2022-08-01;10;232,32
2022-08-01;11;227,98
2022-08-01;12;227,85
2022-08-01;13;226,35
2022-08-01;14;223,50
2022-08-01;15;120,00
2022-08-01;16;218,72
2022-08-01;17;225,07
2022-08-01;18;223,29
2022-08-01;19;221,05
2022-08-01;20;48,18
2022-08-01;21;13,77
2022-08-01;22;11,02
2022-08-01;23;8,23
2022-08-02;0;5,33
2022-08-02;1;5,32
2022-08-02;2;4,90
2022-08-02;3;4,68
2022-08-02;4;4,54
2022-08-02;5;4,95
2022-08-02;6;7,16
2022-08-02;7;12,00
2022-08-02;8;170,09
2022-08-02;9;273,92
2022-08-02;10;270,01
2022-08-02;11;243,03
2022-08-02;12;164,50
2022-08-02;13;30,34
2022-08-02;14;15,61
2022-08-02;15;16,09
2022-08-02;16;16,08
2022-08-02;17;31,14
2022-08-02;18;146,29
2022-08-02;19;17,79
2022-08-02;20;13,79
2022-08-02;21;10,45
2022-08-02;22;6,42
2022-08-02;23;2,42
2022-08-03;0;1,53
2022-08-03;1;1,48
2022-08-03;2;1,48
2022-08-03;3;1,50
2022-08-03;4;1,73
2022-08-03;5;2,64
2022-08-03;6;4,72
2022-08-03;7;9,03
2022-08-03;8;11,75
2022-08-03;9;11,63
2022-08-03;10;9,90
2022-08-03;11;7,73
2022-08-03;12;4,89
2022-08-03;13;3,63
2022-08-03;14;2,97
2022-08-03;15;2,75
2022-08-03;16;2,87
2022-08-03;17;3,00
2022-08-03;18;3,93
2022-08-03;19;4,40
2022-08-03;20;3,96
2022-08-03;21;3,65
2022-08-03;22;3,04
2022-08-03;23;1,89
2022-08-04;0;1,51
2022-08-04;1;1,53
2022-08-04;2;1,62
2022-08-04;3;2,10
2022-08-04;4;2,47
2022-08-04;5;4,16
2022-08-04;6;6,10
2022-08-04;7;16,08
2022-08-04;8;16,05
2022-08-04;9;16,07
2022-08-04;10;11,96
2022-08-04;11;9,13
2022-08-04;12;8,46
2022-08-04;13;8,18
2022-08-04;14;7,29
2022-08-04;15;7,59
2022-08-04;16;9,64
2022-08-04;17;9,44
2022-08-04;18;11,83
2022-08-04;19;10,39
2022-08-04;20;6,83
2022-08-04;21;5,75
2022-08-04;22;4,55
2022-08-04;23;2,50
2022-08-05;0;1,64
2022-08-05;1;1,47
2022-08-05;2;1,57
2022-08-05;3;1,98
2022-08-05;4;2,30
2022-08-05;5;3,09
2022-08-05;6;4,97
2022-08-05;7;11,52
2022-08-05;8;17,83
2022-08-05;9;35,09
2022-08-05;10;50,03
2022-08-05;11;35,07
2022-08-05;12;24,47
2022-08-05;13;25,44
2022-08-05;14;39,39
2022-08-05;15;25,04
2022-08-05;16;28,00
2022-08-05;17;35,07
