hour,date,price
10,2022-07-19,"165,67"
11,2022-07-19,"164,48"
12,2022-07-19,"163,31"
13,2022-07-19,"162,66"
14,2022-07-19,"161,93"
15,2022-07-19,"160,84"
16,2022-07-19,"161,88"
17,2022-07-19,"163,53"
18,2022-07-19,"164,20"
19,2022-07-19,"163,81"
20,2022-07-19,"162,79"
21,2022-07-19,"160,86"
22,2022-07-19,"157,83"
23,2022-07-19,"74,54"
0,2022-07-20,"51,78"
1,2022-07-20,"29,98"
2,2022-07-20,"20,86"
3,2022-07-20,"18,92"
4,2022-07-20,"18,58"
5,2022-07-20,"39,88"
6,2022-07-20,"56,71"
7,2022-07-20,"152,94"
8,2022-07-20,"165,29"
9,2022-07-20,"166,06"
10,2022-07-20,"165,34"
11,2022-07-20,"165,78"
12,2022-07-20,"192,80"
13,2022-07-20,"130,69"
14,2022-07-20,"130,69"
15,2022-07-20,"121,04"
16,2022-07-20,"121,06"
17,2022-07-20,"142,29"
18,2022-07-20,"142,32"
19,2022-07-20,"142,36"
20,2022-07-20,"142,31"
21,2022-07-20,"42,22"
22,2022-07-20,"33,15"
23,2022-07-20,"16,62"
0,2022-07-21,"36,95"
1,2022-07-21,"27,00"
2,2022-07-21,"24,85"
3,2022-07-21,"20,59"
4,2022-07-21,"16,78"
5,2022-07-21,"26,44"
6,2022-07-21,"301,89"
7,2022-07-21,"482,03"
8,2022-07-21,"476,59"
9,2022-07-21,"451,86"
10,2022-07-21,"421,58"
11,2022-07-21,"371,94"
12,2022-07-21,"337,75"
13,2022-07-21,"312,28"
14,2022-07-21,"215,04"
15,2022-07-21,"187,30"
16,2022-07-21,"323,01"
17,2022-07-21,"288,72"
18,2022-07-21,"417,60"
19,2022-07-21,"400,00"
20,2022-07-21,"440,76"
21,2022-07-21,"376,91"
22,2022-07-21,"414,61"
23,2022-07-21,"324,80"
0,2022-07-22,"16,30"
1,2022-07-22,"9,59"
2,2022-07-22,"4,91"
3,2022-07-22,"4,36"
4,2022-07-22,"4,17"
5,2022-07-22,"4,97"
6,2022-07-22,"187,88"
7,2022-07-22,"429,01"
8,2022-07-22,"383,45"
9,2022-07-22,"327,10"
10,2022-07-22,"334,43"
11,2022-07-22,"312,01"
12,2022-07-22,"198,10"
13,2022-07-22,"191,64"
14,2022-07-22,"179,29"
15,2022-07-22,"179,29"
16,2022-07-22,"174,66"
17,2022-07-22,"187,38"
18,2022-07-22,"187,38"
19,2022-07-22,"169,47"
20,2022-07-22,"165,43"
21,2022-07-22,"164,26"
22,2022-07-22,"163,55"
23,2022-07-22,"21,01"
0,2022-07-23,"19,05"
1,2022-07-23,"16,27"
2,2022-07-23,"15,79"
3,2022-07-23,"16,13"
4,2022-07-23,"14,25"
5,2022-07-23,"16,05"
6,2022-07-23,"29,04"
7,2022-07-23,"40,72"
8,2022-07-23,"78,10"
9,2022-07-23,"155,52"
10,2022-07-23,"168,34"
11,2022-07-23,"168,48"
12,2022-07-23,"168,64"
13,2022-07-23,"161,61"
14,2022-07-23,"151,44"
15,2022-07-23,"150,07"
16,2022-07-23,"161,04"
17,2022-07-23,"164,50"
18,2022-07-23,"168,35"
19,2022-07-23,"168,74"
20,2022-07-23,"168,45"
21,2022-07-23,"166,07"
22,2022-07-23,"164,97"
23,2022-07-23,"83,08"
0,2022-07-24,"51,40"
